style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Fixed Income Arbitrage,model1,MKT-RF,0.1131,5.06,0.24,0.24,0.11314256466281401,3.377784719437026,0.0008985480932081214,180,0.10098952232611391,0.09083121184392318,ols,4.256466281400695e-05,-1.6822152805629735,-0.13901047767388608,-0.14916878815607681,4.256466281400695e-05,1.6822152805629735,True,True,True,True
Fixed Income Arbitrage,model1,Liquidity,0.9383,4.91,0.24,0.24,0.677005489020271,2.41739946908645,0.016646662574345345,180,0.10098952232611391,0.09083121184392318,ols,-0.261294510979729,-2.49260053091355,-0.13901047767388608,-0.14916878815607681,0.261294510979729,2.49260053091355,True,True,True,True
Fixed Income Arbitrage,model2,Intercept,0.0038,4.92,0.57,0.55,0.004823030534900751,3.3167875267561007,0.0011122423851404831,180,0.17950218116511107,0.14111631829564264,ols,0.0010230305349007512,-1.6032124732438993,-0.3904978188348889,-0.4088836817043574,0.0010230305349007512,1.6032124732438993,True,True,True,True
Fixed Income Arbitrage,model2,MKT-RF,0.0303,1.58,0.57,0.55,0.06593383642715431,1.843817304294378,0.06694033278166696,180,0.17950218116511107,0.14111631829564264,ols,0.03563383642715431,0.2638173042943779,-0.3904978188348889,-0.4088836817043574,0.03563383642715431,0.2638173042943779,True,False,False,True
Fixed Income Arbitrage,model2,SMB,-0.0176,-0.83,0.57,0.55,-0.027538242460930208,-0.6925362093785694,0.4895400495509979,180,0.17950218116511107,0.14111631829564264,ols,-0.009938242460930207,0.13746379062143055,-0.3904978188348889,-0.4088836817043574,0.009938242460930207,0.13746379062143055,True,False,False,True
Fixed Income Arbitrage,model2,DTERM,-0.0269,-7.18,0.57,0.55,-0.02009091436373859,-2.8673760274850415,0.00465981631257419,180,0.17950218116511107,0.14111631829564264,ols,0.006809085636261411,4.312623972514958,-0.3904978188348889,-0.4088836817043574,0.006809085636261411,4.312623972514958,True,True,True,True
Fixed Income Arbitrage,model2,DCREDIT,-0.0631,-10.66,0.57,0.55,-0.036670404610431154,-3.2834043310609773,0.0012437616371090688,180,0.17950218116511107,0.14111631829564264,ols,0.02642959538956885,7.376595668939023,-0.3904978188348889,-0.4088836817043574,0.02642959538956885,7.376595668939023,True,True,True,True
Fixed Income Arbitrage,model2,PTFSBD,-0.0042,-0.78,0.57,0.55,-0.018733266631825753,-1.8868733505083808,0.060872067957638616,180,0.17950218116511107,0.14111631829564264,ols,-0.014533266631825754,-1.1068733505083808,-0.3904978188348889,-0.4088836817043574,0.014533266631825754,1.1068733505083808,True,False,False,True
Fixed Income Arbitrage,model2,PTFSFX,-0.0047,-1.09,0.57,0.55,0.000821688019815579,0.1029564656827823,0.9181181630732363,180,0.17950218116511107,0.14111631829564264,ols,0.005521688019815579,1.1929564656827825,-0.3904978188348889,-0.4088836817043574,0.005521688019815579,1.1929564656827825,False,False,False,True
Fixed Income Arbitrage,model2,PTFSCOM,0.0015,0.25,0.57,0.55,0.003479532860681905,0.311410371899046,0.7558679951404713,180,0.17950218116511107,0.14111631829564264,ols,0.001979532860681905,0.06141037189904602,-0.3904978188348889,-0.4088836817043574,0.001979532860681905,0.06141037189904602,True,False,False,True
